NAME,YEAR,MONTH,DAY,PERIOD,VALUE
BAT_ALFALFAL_VR1,2026,5,9,1,0
BAT_ALFALFAL_VR2,2026,5,9,1,27.38369492
BAT_ANDES_2A_FV,2026,5,9,1,0
BAT_ANDES_2B_FV,2026,5,9,1,12.97814208
BAT_ARICA,2026,5,9,1,75.138
BAT_COYA_FV,2026,5,9,1,0
BAT_DIEGO_ALMAGRO_SUR_FV,2026,5,9,1,0
BAT_SALVADOR_FV,2026,5,9,1,55.8413195899999
BAT_SAN_ANDRES_FV,2026,5,9,1,0
BAT_URIBE_SOLAR_FV,2026,5,9,1,0
BAT_LA_CABANA_EO,2026,5,9,1,0
BAT_ANDES_4_FV,2026,5,9,1,45.0549450549451
BAT_DON_HUMBERTO_FV,2026,5,9,1,88.0439648223218
BAT_TAMAYA_FV,2026,5,9,1,15.8607619
BAT_MANZANO_FV,2026,5,9,1,75.3413969304036
BAT_NUEVA_IMPERIAL,2026,5,9,1,0
BAT_CAPRICORNIO_FV,2026,5,9,1,0
BAT_PUNTA_SIERRA_EO,2026,5,9,1,98.75
BAT_MARIA_ELENA_FV,2026,5,9,1,0
BAT_NUEVO_QUILLAGUA_FV,2026,5,9,1,40.5569835599999
BAT_NUEVO_QUILLAGUA_2_FV,2026,5,9,1,13.332
BAT_DEL_DESIERTO,2026,5,9,1,16.89497149
BAT_DESIERTO_DE_ATACAMA_FV,2026,5,9,1,0.153066802726092
BAT_VICTOR_JARA_FV,2026,5,9,1,25
BAT_ANDES_3_FV,2026,5,9,1,31.3918428512106
BAT_TOCOPILLA,2026,5,9,1,90
BAT_CHACA,2026,5,9,1,0
BAT_GABRIELA_FV,2026,5,9,1,0
BAT_HUATACONDO_FV,2026,5,9,1,0.535485348
BAT_BOLERO_FV,2026,5,9,1,25
BAT_ESTEPA_FV,2026,5,9,1,0
BAT_LOS_LOROS_FV,2026,5,9,1,25
BAT_ARENALES,2026,5,9,1,0
BAT_ARENA,2026,5,9,1,25
BAT_ARICA_2,2026,5,9,1,25
BAT_LIBELULA_FV,2026,5,9,1,5.33E-14
BAT_ELENA_FV,2026,5,9,1,53.6750355419024
BAT_PUNTA_DE_TALCA_EO,2026,5,9,1,0

