YEAR,MONTH,DAY,PERIOD,BAND,VALUE
2026,5,9,1,1,33.96
2026,5,9,2,1,33.96
2026,5,9,3,1,33.96
2026,5,9,4,1,33.96
2026,5,9,5,1,33.96
2026,5,9,6,1,33.96
2026,5,9,7,1,33.96
2026,5,9,8,1,33.96
2026,5,9,9,1,0.01
2026,5,9,10,1,0.01
2026,5,9,11,1,0.01
2026,5,9,12,1,0.01
2026,5,9,13,1,0.01
2026,5,9,14,1,0.01
2026,5,9,15,1,0.01
2026,5,9,16,1,0.01
2026,5,9,17,1,0.01
2026,5,9,18,1,0.01
2026,5,9,19,1,33.96
2026,5,9,20,1,33.96
2026,5,9,21,1,33.96
2026,5,9,22,1,33.96
2026,5,9,23,1,33.96
2026,5,9,24,1,33.96
2026,5,10,1,1,33.96
2026,5,10,2,1,33.96
2026,5,10,3,1,33.96
2026,5,10,4,1,33.96
2026,5,10,5,1,33.96
2026,5,10,6,1,33.96
2026,5,10,7,1,33.96
2026,5,10,8,1,33.96
2026,5,10,9,1,0.01
2026,5,10,10,1,0.01
2026,5,10,11,1,0.01
2026,5,10,12,1,0.01
2026,5,10,13,1,0.01
2026,5,10,14,1,0.01
2026,5,10,15,1,0.01
2026,5,10,16,1,0.01
2026,5,10,17,1,0.01
2026,5,10,18,1,0.01
2026,5,10,19,1,33.96
2026,5,10,20,1,33.96
2026,5,10,21,1,33.96
2026,5,10,22,1,33.96
2026,5,10,23,1,33.96
2026,5,10,24,1,33.96
2026,5,11,1,1,33.96
2026,5,11,2,1,33.96
2026,5,11,3,1,33.96
2026,5,11,4,1,33.96
2026,5,11,5,1,33.96
2026,5,11,6,1,33.96
2026,5,11,7,1,33.96
2026,5,11,8,1,33.96
2026,5,11,9,1,0.01
2026,5,11,10,1,0.01
2026,5,11,11,1,0.01
2026,5,11,12,1,0.01
2026,5,11,13,1,0.01
2026,5,11,14,1,0.01
2026,5,11,15,1,0.01
2026,5,11,16,1,0.01
2026,5,11,17,1,0.01
2026,5,11,18,1,0.01
2026,5,11,19,1,33.96
2026,5,11,20,1,33.96
2026,5,11,21,1,33.96
2026,5,11,22,1,33.96
2026,5,11,23,1,33.96
2026,5,11,24,1,33.96
2026,5,12,1,1,33.96
2026,5,12,2,1,33.96
2026,5,12,3,1,33.96
2026,5,12,4,1,33.96
2026,5,12,5,1,33.96
2026,5,12,6,1,33.96
2026,5,12,7,1,33.96
2026,5,12,8,1,33.96
2026,5,12,9,1,0.01
2026,5,12,10,1,0.01
2026,5,12,11,1,0.01
2026,5,12,12,1,0.01
2026,5,12,13,1,0.01
2026,5,12,14,1,0.01
2026,5,12,15,1,0.01
2026,5,12,16,1,0.01
2026,5,12,17,1,0.01
2026,5,12,18,1,0.01
2026,5,12,19,1,33.96
2026,5,12,20,1,33.96
2026,5,12,21,1,33.96
2026,5,12,22,1,33.96
2026,5,12,23,1,33.96
2026,5,12,24,1,33.96
2026,5,13,1,1,33.96
2026,5,13,2,1,33.96
2026,5,13,3,1,33.96
2026,5,13,4,1,33.96
2026,5,13,5,1,33.96
2026,5,13,6,1,33.96
2026,5,13,7,1,33.96
2026,5,13,8,1,33.96
2026,5,13,9,1,0.01
2026,5,13,10,1,0.01
2026,5,13,11,1,0.01
2026,5,13,12,1,0.01
2026,5,13,13,1,0.01
2026,5,13,14,1,0.01
2026,5,13,15,1,0.01
2026,5,13,16,1,0.01
2026,5,13,17,1,0.01
2026,5,13,18,1,0.01
2026,5,13,19,1,33.96
2026,5,13,20,1,33.96
2026,5,13,21,1,33.96
2026,5,13,22,1,33.96
2026,5,13,23,1,33.96
2026,5,13,24,1,33.96
2026,5,14,1,1,33.96
2026,5,14,2,1,33.96
2026,5,14,3,1,33.96
2026,5,14,4,1,33.96
2026,5,14,5,1,33.96
2026,5,14,6,1,33.96
2026,5,14,7,1,33.96
2026,5,14,8,1,33.96
2026,5,14,9,1,0.01
2026,5,14,10,1,0.01
2026,5,14,11,1,0.01
2026,5,14,12,1,0.01
2026,5,14,13,1,0.01
2026,5,14,14,1,0.01
2026,5,14,15,1,0.01
2026,5,14,16,1,0.01
2026,5,14,17,1,0.01
2026,5,14,18,1,0.01
2026,5,14,19,1,33.96
2026,5,14,20,1,33.96
2026,5,14,21,1,33.96
2026,5,14,22,1,33.96
2026,5,14,23,1,33.96
2026,5,14,24,1,33.96
2026,5,15,1,1,33.96
2026,5,15,2,1,33.96
2026,5,15,3,1,33.96
2026,5,15,4,1,33.96
2026,5,15,5,1,33.96
2026,5,15,6,1,33.96
2026,5,15,7,1,33.96
2026,5,15,8,1,33.96
2026,5,15,9,1,0.01
2026,5,15,10,1,0.01
2026,5,15,11,1,0.01
2026,5,15,12,1,0.01
2026,5,15,13,1,0.01
2026,5,15,14,1,0.01
2026,5,15,15,1,0.01
2026,5,15,16,1,0.01
2026,5,15,17,1,0.01
2026,5,15,18,1,0.01
2026,5,15,19,1,33.96
2026,5,15,20,1,33.96
2026,5,15,21,1,33.96
2026,5,15,22,1,33.96
2026,5,15,23,1,33.96
2026,5,15,24,1,33.96
