NAME,YEAR,MONTH,DAY,PERIOD,VALUE
Gas_EnelMejillones_A,2026,5,7,1,3.9767
Gas_EnelMejillones_A,2026,5,14,1,0
Gas_EnelMejillones_B,2026,5,7,1,0
Gas_EnelMejillones_B,2026,5,14,1,0
Gas_EnelMejillones_C,2026,5,7,1,0
Gas_EnelMejillones_C,2026,5,14,1,0
Gas_EnelMejillones_D,2026,5,7,1,0
Gas_EnelMejillones_D,2026,5,14,1,0
Gas_EnelMejillones_E,2026,5,7,1,5.8533
Gas_EnelMejillones_E,2026,5,14,1,0
Gas_EnelMejillones_GN_A,2026,5,7,1,0
Gas_EnelMejillones_GN_A,2026,5,14,1,0
Gas_EnelMejillones_INF,2026,5,7,1,0
Gas_EnelMejillones_INF,2026,5,14,1,0
Gas_Kelar_A,2026,5,7,1,0
Gas_Kelar_A,2026,5,14,1,0
Gas_Kelar_B,2026,5,7,1,0
Gas_Kelar_B,2026,5,14,1,0
Gas_Kelar_C,2026,5,7,1,0
Gas_Kelar_C,2026,5,14,1,0
Gas_Kelar_D,2026,5,7,1,0
Gas_Kelar_D,2026,5,14,1,0
Gas_Kelar_E,2026,5,7,1,0
Gas_Kelar_E,2026,5,14,1,0
Gas_Kelar_INF,2026,5,7,1,0
Gas_Kelar_INF,2026,5,14,1,0
Gas_Mejillones_A,2026,5,7,1,13.0328
Gas_Mejillones_A,2026,5,14,1,2.1677
Gas_Mejillones_B,2026,5,7,1,6.5469
Gas_Mejillones_B,2026,5,14,1,1
Gas_Mejillones_C,2026,5,7,1,2.0296
Gas_Mejillones_C,2026,5,14,1,0
Gas_Mejillones_D,2026,5,7,1,0
Gas_Mejillones_D,2026,5,14,1,0
Gas_Mejillones_E,2026,5,7,1,0
Gas_Mejillones_E,2026,5,14,1,0
Gas_Mejillones_GN_A,2026,5,7,1,0
Gas_Mejillones_GN_A,2026,5,14,1,0
Gas_Mejillones_INF,2026,5,7,1,0
Gas_Mejillones_INF,2026,5,14,1,0
Gas_Colmito_GN_A,2026,5,7,1,0.252
Gas_Colmito_GN_A,2026,5,14,1,0
Gas_Colmito_A,2026,5,7,1,0
Gas_Colmito_A,2026,5,14,1,0
Gas_Colmito_INF,2026,5,7,1,0
Gas_Colmito_INF,2026,5,14,1,0
Gas_Coronel_A,2026,5,7,1,0
Gas_Coronel_A,2026,5,14,1,0
Gas_Coronel_B,2026,5,7,1,0
Gas_Coronel_B,2026,5,14,1,0
Gas_Coronel_GN_A,2026,5,7,1,0.06
Gas_Coronel_GN_A,2026,5,14,1,0
Gas_GNLQuintero_A,2026,5,7,1,0
Gas_GNLQuintero_A,2026,5,14,1,0
Gas_GNLQuintero_B,2026,5,7,1,0
Gas_GNLQuintero_B,2026,5,14,1,0
Gas_GNLQuintero_C,2026,5,7,1,0
Gas_GNLQuintero_C,2026,5,14,1,0
Gas_GNLQuintero_D,2026,5,7,1,0
Gas_GNLQuintero_D,2026,5,14,1,0
Gas_GNLQuintero_E,2026,5,7,1,13.5292
Gas_GNLQuintero_E,2026,5,14,1,0
Gas_GNLQuintero_F,2026,5,7,1,0
Gas_GNLQuintero_F,2026,5,14,1,0
Gas_Enel_GN_A,2026,5,7,1,9.8
Gas_Enel_GN_A,2026,5,14,1,9.8
Gas_NuevaRenca_GN_A,2026,5,7,1,8.05
Gas_NuevaRenca_GN_A,2026,5,14,1,8.05
Gas_NuevaRenca_A,2026,5,7,1,2.24
Gas_NuevaRenca_A,2026,5,14,1,0
Gas_NuevaRenca_B,2026,5,7,1,0
Gas_NuevaRenca_B,2026,5,14,1,0
Gas_NuevaRenca_C,2026,5,7,1,2.94
Gas_NuevaRenca_C,2026,5,14,1,0
Gas_NuevaRenca_D,2026,5,7,1,0
Gas_NuevaRenca_D,2026,5,14,1,0
Gas_NuevaRenca_E,2026,5,7,1,0.84
Gas_NuevaRenca_E,2026,5,14,1,0
Gas_GNLQuintero_INF,2026,5,7,1,0
Gas_GNLQuintero_INF,2026,5,14,1,0
Gas_Colbun_GN_A,2026,5,7,1,7
Gas_Colbun_GN_A,2026,5,14,1,7
Gas_Colbun_A,2026,5,7,1,0
Gas_Colbun_A,2026,5,14,1,0
Gas_Colbun_B,2026,5,7,1,0
Gas_Colbun_B,2026,5,14,1,0
Gas_Colbun_C,2026,5,7,1,13.8133
Gas_Colbun_C,2026,5,14,1,11.55
Gas_Colbun_D,2026,5,7,1,0
Gas_Colbun_D,2026,5,14,1,0
Gas_Colbun_E,2026,5,7,1,0
Gas_Colbun_E,2026,5,14,1,0
Gas_Colbun_F,2026,5,7,1,0
Gas_Colbun_F,2026,5,14,1,0
Gas_Colbun_G,2026,5,7,1,0
Gas_Colbun_G,2026,5,14,1,0
Gas_Colbun_INF,2026,5,7,1,0
Gas_Colbun_INF,2026,5,14,1,0
Gas_NehuencoFA_A,2026,5,7,1,0
Gas_NehuencoFA_A,2026,5,14,1,0
Gas_Newen_GN_A,2026,5,7,1,0.042
Gas_Newen_GN_A,2026,5,14,1,0
