NAME,YEAR,MONTH,DAY,PERIOD,VALUE
Biogas_LomaLosColorados,2026,5,9,1,0
Biogas_SantaMarta,2026,5,9,1,0
Biomasa_Celco_B1,2026,5,9,1,40.07395796
Biomasa_Celco_B2,2026,5,9,1,656.0751546
Biomasa_Cholguan_B1,2026,5,9,1,37.84388242
Biomasa_Cholguan_B2,2026,5,9,1,906.2107568
Biomasa_CMPCLaja_B1,2026,5,9,1,5.87266354
Biomasa_CMPCLaja_B2,2026,5,9,1,53.8290698
Biomasa_CMPCLaja_B3,2026,5,9,1,66.4842443
Biomasa_CMPCLaja_B4,2026,5,9,1,128.900366
Biomasa_CMPCLaja_B5,2026,5,9,1,831.3341166
Biomasa_CMPCPacifico_B1,2026,5,9,1,4.09333675
Biomasa_CMPCPacifico_B2,2026,5,9,1,27.75950249
Biomasa_CMPCPacifico_B3,2026,5,9,1,836.9289161
Biomasa_EnergiaPacifico,2026,5,9,1,39.76
Biomasa_Escuadron,2026,5,9,1,31.30338669
Biomasa_Laja1,2026,5,9,1,11.47024257
Biomasa_Laja2,2026,5,9,1,0
Biomasa_Lautaro1,2026,5,9,1,22.60659234
Biomasa_Lautaro1_B2,2026,5,9,1,35.47048244
Biomasa_Lautaro2,2026,5,9,1,24.86389266
Biomasa_Lautaro2_B2,2026,5,9,1,34.34485011
Biomasa_Licanten_B1,2026,5,9,1,0
Biomasa_Licanten_B2,2026,5,9,1,34.81307585
Biomasa_Masisa,2026,5,9,1,32.8425204
Biomasa_NuevaAldea_B1,2026,5,9,1,0
Biomasa_NuevaAldea_B2,2026,5,9,1,0
Biomasa_NuevaAldea_B3,2026,5,9,1,27.95677892
Biomasa_SantaFe_B1,2026,5,9,1,5.42397659
Biomasa_SantaFe_B2,2026,5,9,1,25.65551962
Biomasa_SantaFe_B3,2026,5,9,1,27.9267021
Biomasa_SantaFe_B4,2026,5,9,1,66.24969546
Biomasa_ValdiviaE_B1,2026,5,9,1,0
Biomasa_ValdiviaE_B2,2026,5,9,1,0
Biomasa_ValdiviaE_B3,2026,5,9,1,26.21273482
Biomasa_ValdiviaE_B4,2026,5,9,1,665.3375828
Biomasa_ValdiviaP_B1,2026,5,9,1,0
Biomasa_ValdiviaP_B2,2026,5,9,1,0
Biomasa_ValdiviaP_B3,2026,5,9,1,26.21273482
Biomasa_ValdiviaP_B4,2026,5,9,1,665.3375828
Biomasa_Vinales_B1,2026,5,9,1,0
Biomasa_Vinales_B2,2026,5,9,1,37.02901879
Carbon_Campiche,2026,5,9,1,140.558
Carbon_Guacolda1,2026,5,9,1,120.17
Carbon_Guacolda2,2026,5,9,1,120.17
