NAME,YEAR,MONTH,DAY,PERIOD,VALUE
ENAP_ACONCAGUA,2026,5,9,1,0.303687821
ANDES_U1-U2_DIE,2026,5,9,1,0.221015763
ANDES_U3_DIE,2026,5,9,1,0.211849383
ANDES_U4_DIE,2026,5,9,1,0.207416817
ANDINA,2026,5,9,1,0.375895325
ANGAMOS_1,2026,5,9,1,0.371589649
ANGAMOS_2,2026,5,9,1,0.369977864
ANTILHUE_U1,2026,5,9,1,0.225934693
ANTILHUE_U2,2026,5,9,1,0.229493663
ATA-TG1A_DIE,2026,5,9,1,0.275776533
ATA-TG1A_GN_A,2026,5,9,1,0.335215942
ATA-TG1A_GNL_A,2026,5,9,1,0.335215942
ATA-TG1A_GNL_B,2026,5,9,1,0.335215942
ATA-TG1A_GNL_C,2026,5,9,1,0.335215942
ATA-TG1A_GNL_D,2026,5,9,1,0.335215942
ATA-TG1A_GNL_E,2026,5,9,1,0.335215942
ATA-TG1A_GNL_X,2026,5,9,1,0.335215942
ATA-TG1A_GNL_INF,2026,5,9,1,0.335215942
ATA-TG1A+0.5TV1C_DIE,2026,5,9,1,0.193164457
ATA-TG1A+0.5TV1C_GN_A,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_A,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_B,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_C,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_D,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_E,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_X,2026,5,9,1,0.219091757
ATA-TG1A+0.5TV1C_GNL_INF,2026,5,9,1,0.219091757
ATA-TG1A+TG1B+TV1C_DIE,2026,5,9,1,0.175268819
ATA-TG1A+TG1B+TV1C_GN_A,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_A,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_B,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_C,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_D,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_E,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_X,2026,5,9,1,0.2033
ATA-TG1A+TG1B+TV1C_GNL_INF,2026,5,9,1,0.2033
ATA-TG1B_DIE,2026,5,9,1,0.28331252
ATA-TG1B_GN_A,2026,5,9,1,0.335547458
ATA-TG1B_GNL_A,2026,5,9,1,0.335547458
ATA-TG1B_GNL_B,2026,5,9,1,0.335547458
ATA-TG1B_GNL_C,2026,5,9,1,0.335547458
ATA-TG1B_GNL_D,2026,5,9,1,0.335547458
ATA-TG1B_GNL_E,2026,5,9,1,0.335547458
ATA-TG1B_GNL_X,2026,5,9,1,0.335547458
ATA-TG1B_GNL_INF,2026,5,9,1,0.335547458
ATA-TG1B+0.5TV1C_DIE,2026,5,9,1,0.190486498
ATA-TG1B+0.5TV1C_GN_A,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_A,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_B,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_C,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_D,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_E,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_X,2026,5,9,1,0.214773927
ATA-TG1B+0.5TV1C_GNL_INF,2026,5,9,1,0.214773927
ATA-TG2A_DIE,2026,5,9,1,0.280825986
ATA-TG2A_GN_A,2026,5,9,1,0.330734418
ATA-TG2A_GNL_A,2026,5,9,1,0.330734418
ATA-TG2A_GNL_B,2026,5,9,1,0.330734418
ATA-TG2A_GNL_C,2026,5,9,1,0.330734418
ATA-TG2A_GNL_D,2026,5,9,1,0.330734418
ATA-TG2A_GNL_E,2026,5,9,1,0.330734418
ATA-TG2A_GNL_X,2026,5,9,1,0.330734418
ATA-TG2A_GNL_INF,2026,5,9,1,0.330734418
