NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
ANGOSTURA_U1,2026,5,9,1,1,77
ANGOSTURA_U2,2026,5,9,1,1,77
ANGOSTURA_U3,2026,5,9,1,1,45
COLBUN_U1,2026,5,9,1,1,0
COLBUN_U2,2026,5,9,1,1,210.6
MACHICURA_U1,2026,5,9,1,1,31.3
MACHICURA_U2,2026,5,9,1,1,40
PANGUE_U1,2026,5,9,1,1,0
PANGUE_U2,2026,5,9,1,1,156.3044
SAN_IGNACIO,2026,5,9,1,1,35.4
IE_MEJILLONES_DIE,2026,5,9,1,1,0
IE_MEJILLONES_GN_A,2026,5,9,1,1,0
IE_MEJILLONES_GN_B,2026,5,9,1,1,0
IE_MEJILLONES_GN_C,2026,5,9,1,1,0
IE_MEJILLONES_GN_D,2026,5,9,1,1,0
IE_MEJILLONES_GNL_A,2026,5,9,1,1,0
IE_MEJILLONES_GNL_B,2026,5,9,1,1,0
IE_MEJILLONES_GNL_C,2026,5,9,1,1,0
IE_MEJILLONES_GNL_D,2026,5,9,1,1,0
IE_MEJILLONES_GNL_E,2026,5,9,1,1,0
IE_MEJILLONES_GNL_INF,2026,5,9,1,1,0
ARICA_GM,2026,5,9,1,1,0
ARICA_M1,2026,5,9,1,1,0
ARICA_M2,2026,5,9,1,1,0
UJINA_U1_DIE,2026,5,9,1,1,0
UJINA_U1_HFO,2026,5,9,1,1,0
UJINA_U2_DIE,2026,5,9,1,1,0
UJINA_U2_HFO,2026,5,9,1,1,0
UJINA_U3_DIE,2026,5,9,1,1,0
UJINA_U3_HFO,2026,5,9,1,1,0
UJINA_U4_DIE,2026,5,9,1,1,0
UJINA_U4_HFO,2026,5,9,1,1,0
UJINA_U5_HFO,2026,5,9,1,1,0
UJINA_U6_HFO,2026,5,9,1,1,0
CERRO_PABELLON_U1,2026,5,9,1,1,12.12
CERRO_PABELLON_U2,2026,5,9,1,1,0
CERRO_PABELLON_U3,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GN_A,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GN_B,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GN_C,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GN_D,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_A,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_B,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_C,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_D,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_E,2026,5,9,1,1,0
TOCOPILLA_U16-TG_GNL_INF,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_DIE,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GN_A,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GN_B,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GN_C,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GN_D,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GNL_A,2026,5,9,1,1,291.535
TOCOPILLA_U16-TG+TV_GNL_B,2026,5,9,1,1,0
TOCOPILLA_U16-TG+TV_GNL_C,2026,5,9,1,1,0
