NAME,YEAR,MONTH,DAY,PERIOD,VALUE
ENAP_ACONCAGUA,2026,5,9,1,29.10888246
CMPC_BUCALEMU_2,2026,5,9,1,0
VALDIVIA_BL1_PINO,2026,5,9,1,0
VALDIVIA_BL1_EUCA,2026,5,9,1,0
NEHUENCO_1-FA_GNL_C,2026,5,9,1,0
NEHUENCO_1-FA_GNL_D,2026,5,9,1,0
NEHUENCO_1-FA_GNL_B,2026,5,9,1,0
NEHUENCO_1-FA_GNL_E,2026,5,9,1,0
NEHUENCO_1-FA_GNL_X,2026,5,9,1,0
NEHUENCO_1-FA_GNL_F,2026,5,9,1,0
NEHUENCO_1-FA_GNL_G,2026,5,9,1,0
NEHUENCO_1-FA_GN_A,2026,5,9,1,0
NEHUENCO_1-FA_GNL_A,2026,5,9,1,0
NUEVA_ALDEA_BL3,2026,5,9,1,0
CMPC_LAJA_BL1,2026,5,9,1,0
CMPC_PACIFICO_BL1,2026,5,9,1,0
CMPC_CORDILLERA_GN_A,2026,5,9,1,162.8811736
CMPC_CORDILLERA_GNL_B,2026,5,9,1,240.7844203
CMPC_CORDILLERA_GNL_A,2026,5,9,1,251.2794347
NEHUENCO_2-TG+TV_GNL_E,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_X,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_F,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_G,2026,5,9,1,0
NEHUENCO_2-TG+TV_GN_A,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_C,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_D,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_B,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_A,2026,5,9,1,0
CANDELARIA_1_GNL_INF,2026,5,9,1,0
CANDELARIA_2_GNL_INF,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_INF,2026,5,9,1,0
NEHUENCO_1-TG_GNL_E,2026,5,9,1,0
NEHUENCO_1-TG_GNL_X,2026,5,9,1,0
NEHUENCO_1-TG_GNL_F,2026,5,9,1,0
NEHUENCO_1-TG_GNL_G,2026,5,9,1,0
NEHUENCO_1-TG_GN_A,2026,5,9,1,0
NEHUENCO_1-TG_GNL_C,2026,5,9,1,0
NEHUENCO_1-TG_GNL_D,2026,5,9,1,0
NEHUENCO_1-TG_GNL_B,2026,5,9,1,0
NEHUENCO_1-TG_GNL_A,2026,5,9,1,0
NEHUENCO_2-TG_GNL_E,2026,5,9,1,0
NEHUENCO_2-TG_GNL_X,2026,5,9,1,0
NEHUENCO_2-TG_GNL_F,2026,5,9,1,0
NEHUENCO_2-TG_GNL_G,2026,5,9,1,0
NEHUENCO_2-TG_GN_A,2026,5,9,1,0
NEHUENCO_2-TG_GNL_C,2026,5,9,1,0
NEHUENCO_2-TG_GNL_D,2026,5,9,1,0
NEHUENCO_2-TG_GNL_B,2026,5,9,1,0
NEHUENCO_2-TG_GNL_A,2026,5,9,1,0
NEHUENCO_1-TG_GNL_INF,2026,5,9,1,0
NEHUENCO_2-TG_GNL_INF,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_E,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_X,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_F,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_G,2026,5,9,1,0
NEHUENCO_1-TG+TV_GN_A,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_C,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_D,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_B,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_A,2026,5,9,1,0
NEHUENCO_1-TG+TV_GNL_INF,2026,5,9,1,0
NEHUENCO_9B_GNL_E,2026,5,9,1,0
NEHUENCO_9B_GNL_X,2026,5,9,1,0
NEHUENCO_9B_GNL_F,2026,5,9,1,0
NEHUENCO_9B_GNL_G,2026,5,9,1,0
NEHUENCO_9B_GN_A,2026,5,9,1,0
NEHUENCO_9B_GNL_C,2026,5,9,1,0
NEHUENCO_9B_GNL_D,2026,5,9,1,0
NEHUENCO_9B_GNL_B,2026,5,9,1,0
NEHUENCO_9B_GNL_A,2026,5,9,1,0
NEHUENCO_9B_GNL_INF,2026,5,9,1,0
QUINTERO_1A_GNL_INF,2026,5,9,1,0
QUINTERO_1B_GNL_INF,2026,5,9,1,0
