NAME,YEAR,MONTH,DAY,PERIOD,VALUE
COLMITO_DIE,2026,5,9,1,14.3
COLMITO_GNL_A,2026,5,9,1,10.2
COLMITO_GNL_B,2026,5,9,1,10.2
COLMITO_GN_A,2026,5,9,1,10.2
COLMITO_GNL_INF,2026,5,9,1,10.2
CONCON,2026,5,9,1,30.434
EL_TOTORAL,2026,5,9,1,30.459
LAS_VEGAS,2026,5,9,1,25.882
LINARES,2026,5,9,1,23.584
PLACILLA,2026,5,9,1,29.891
SAN_GREGORIO,2026,5,9,1,25.915
LA_PORTADA,2026,5,9,1,16.07
KELAR-TG1_DIE,2026,5,9,1,9.18
KELAR-TG1_GNL_A,2026,5,9,1,4.59
KELAR-TG1_GNL_B,2026,5,9,1,4.59
KELAR-TG1_GNL_C,2026,5,9,1,4.59
KELAR-TG1_GNL_D,2026,5,9,1,4.59
KELAR-TG1_GNL_E,2026,5,9,1,4.59
KELAR-TG1_GNL_X,2026,5,9,1,4.59
KELAR-TG1_GNL_INF,2026,5,9,1,4.59
KELAR-TG1+0.5TV_DIE,2026,5,9,1,6.45
KELAR-TG1+0.5TV_GNL_A,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_B,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_C,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_D,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_E,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_X,2026,5,9,1,3.18
KELAR-TG1+0.5TV_GNL_INF,2026,5,9,1,3.18
KELAR-TG1+TG2+TV_DIE,2026,5,9,1,3.19
KELAR-TG1+TG2+TV_GNL_A,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_B,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_C,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_D,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_E,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_X,2026,5,9,1,1.69
KELAR-TG1+TG2+TV_GNL_INF,2026,5,9,1,1.69
KELAR-TG2_DIE,2026,5,9,1,9.18
KELAR-TG2_GNL_A,2026,5,9,1,4.59
KELAR-TG2_GNL_B,2026,5,9,1,4.59
KELAR-TG2_GNL_C,2026,5,9,1,4.59
KELAR-TG2_GNL_D,2026,5,9,1,4.59
KELAR-TG2_GNL_E,2026,5,9,1,4.59
KELAR-TG2_GNL_X,2026,5,9,1,4.59
KELAR-TG2_GNL_INF,2026,5,9,1,4.59
KELAR-TG2+0.5TV_DIE,2026,5,9,1,6.45
KELAR-TG2+0.5TV_GNL_A,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_B,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_C,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_D,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_E,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_X,2026,5,9,1,3.18
KELAR-TG2+0.5TV_GNL_INF,2026,5,9,1,3.18
KELAR-TG1_GN_A,2026,5,9,1,4.59
KELAR-TG1+0.5TV_GN_A,2026,5,9,1,3.18
KELAR-TG1+TG2+TV_GN_A,2026,5,9,1,1.69
KELAR-TG2_GN_A,2026,5,9,1,4.59
KELAR-TG2+0.5TV_GN_A,2026,5,9,1,3.18
EL_SALVADOR,2026,5,9,1,15.99
SANTA_MARTA,2026,5,9,1,15
CALLECALLE,2026,5,9,1,21.68600997
CHUYACA,2026,5,9,1,21.6319321
CORONEL_DIE,2026,5,9,1,17.22512293
CORONEL_GN_A,2026,5,9,1,9.222074145
CORONEL_GNL_A,2026,5,9,1,9.222074145
CORONEL_GNL_B,2026,5,9,1,9.222074145
TRINCAO,2026,5,9,1,44.63
CHAGUAL,2026,5,9,1,59.69
COMBARBALA,2026,5,9,1,60.08
SAN_JAVIER_1,2026,5,9,1,59.67
SAN_JAVIER_2,2026,5,9,1,59.82
LLANOS_BLANCOS,2026,5,9,1,60.19
PAJONALES,2026,5,9,1,60.09
OLIVOS_BL1,2026,5,9,1,30.4
OLIVOS_BL2,2026,5,9,1,69.7
CHOLGUAN_BL1,2026,5,9,1,0
CHOLGUAN_BL2,2026,5,9,1,0
YUNGAY_U1_DIE,2026,5,9,1,27.13217694
YUNGAY_U1_GN_A,2026,5,9,1,14.27087892
YUNGAY_U1_GNL_A,2026,5,9,1,14.27087892
YUNGAY_U2_DIE,2026,5,9,1,26.02545271
YUNGAY_U2_GN_A,2026,5,9,1,13.70537244
YUNGAY_U2_GNL_A,2026,5,9,1,13.70537244
YUNGAY_U3_DIE,2026,5,9,1,26.21117427
YUNGAY_U3_GN_A,2026,5,9,1,13.80027119
YUNGAY_U3_GNL_A,2026,5,9,1,13.80027119
YUNGAY_U4_DIE,2026,5,9,1,27.92277821
AGUAS_BLANCAS,2026,5,9,1,14.15
ESCUADRON,2026,5,9,1,4.8
DEGAN_NAVE12,2026,5,9,1,45.52
DEGAN_NAVE5,2026,5,9,1,57.01
DEGAN_2,2026,5,9,1,46.94
PAS_MEJILLONES,2026,5,9,1,0
MASISA,2026,5,9,1,3.4
LOS_GUINDOS,2026,5,9,1,13.65
LOS_GUINDOS_2,2026,5,9,1,13.71
ESPINOS_BL1,2026,5,9,1,26.4
ESPINOS_BL2,2026,5,9,1,67.8
LOMA_LOS_COLORADOS_2,2026,5,9,1,24.33
TENO_GAS_GLP,2026,5,9,1,16.93
HORNITOS,2026,5,9,1,9.09
GUACOLDA_1,2026,5,9,1,5.15
GUACOLDA_2,2026,5,9,1,4.78
GUACOLDA_3,2026,5,9,1,3.38
GUACOLDA_4,2026,5,9,1,4.496507182
GUACOLDA_5,2026,5,9,1,4.080009531
CERRO_PABELLON_U1,2026,5,9,1,0
CERRO_PABELLON_U2,2026,5,9,1,0
CERRO_PABELLON_U3,2026,5,9,1,0
TERMOPACIFICO,2026,5,9,1,17.67
NEWEN_DIE,2026,5,9,1,7.49
NEWEN_GN_A,2026,5,9,1,7.49
NEWEN_GNL_A,2026,5,9,1,7.49
NEWEN_GNL_B,2026,5,9,1,7.49
NEWEN_PRO,2026,5,9,1,7.49
ERSA_BIOBIO,2026,5,9,1,3.9
