NAME,YEAR,MONTH,DAY,PERIOD,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,9,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,9,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,9,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,10,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,10,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,10,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,11,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,11,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,11,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,12,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,12,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,12,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,13,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,13,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,13,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,14,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,14,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,14,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmin,2026,5,15,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCOmax,2026,5,15,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTOROmax,2026,5,15,1,63.14780316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
