NAME,YEAR,MONTH,DAY,PERIOD,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOSTURA_U1,2026,5,9,1,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOSTURA_U2,2026,5,9,1,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOSTURA_U3,2026,5,9,1,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCO_U1,2026,5,9,1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTUCO_U2,2026,5,9,1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUTILLAR_U1,2026,5,9,1,2.00198752672759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUTILLAR_U2,2026,5,9,1,2.00198752672759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_CONDORES_U1,2026,5,9,1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_CONDORES_U2,2026,5,9,1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPRESES_U1,2026,5,9,1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPRESES_U2,2026,5,9,1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPRESES_U3,2026,5,9,1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBUN_U1,2026,5,9,1,1.42212666625714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBUN_U2,2026,5,9,1,1.42212666625714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURILLINQUE,2026,5,9,1,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL_TORO_U1,2026,5,9,1,4.61708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL_TORO_U2,2026,5,9,1,4.61708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL_TORO_U3,2026,5,9,1,4.61708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL_TORO_U4,2026,5,9,1,4.61708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLA,2026,5,9,1,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA_MINA,2026,5,9,1,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAJA_I,2026,5,9,1,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOMA_ALTA,2026,5,9,1,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHICURA_U1,2026,5,9,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHICURA_U2,2026,5,9,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANGUE_U1,2026,5,9,1,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANGUE_U2,2026,5,9,1,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEHUENCHE_U1,2026,5,9,1,1.74548675869312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEHUENCHE_U2,2026,5,9,1,1.74548675869312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUILLECO,2026,5,9,1,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCO_U1,2026,5,9,1,1.573317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCO_U2,2026,5,9,1,1.573317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL_U1,2026,5,9,1,0.617147536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL_U2,2026,5,9,1,0.617147536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL_U3,2026,5,9,1,0.617147536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL_U4,2026,5,9,1,0.617147536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPEL_U5,2026,5,9,1,0.617147536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUCUE,2026,5,9,1,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN_IGNACIO,2026,5,9,1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
