NAME,YEAR,MONTH,DAY,PERIOD,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,9,1,7.27960266005867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,10,1,6.65905746749391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,11,1,5.16317282453467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,12,1,5.07981888477961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,13,1,4.85596331116077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,14,1,4.86511252642917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e1,2026,5,15,1,4.80901477343912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,9,1,7.27960266005867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,10,1,6.65905746749391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,11,1,5.16317282453467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,12,1,5.07981888477961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,13,1,4.85596331116077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,14,1,4.86511252642917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALCOramp_max_e2,2026,5,15,1,4.80901477343912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
