NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
AJahuel110->Sauzal110_BP1,2026,5,9,1,1,153.2
AJahuel154->Paine154,2026,5,9,1,1,179
AJahuel154->Tuniche154_II,2026,5,9,1,1,179
AJahuel220->AJahuel110,2026,5,9,1,1,300
AJahuel220->AJahuel110,2026,5,11,1,1,429
AJahuel220->AJahuel154,2026,5,9,1,1,240
AJahuel220->Buin110,2026,5,9,1,1,400
AJahuel220->Chena220,2026,5,9,1,1,525
AJahuel220->PAltoCmpc110,2026,5,9,1,1,48
AJahuel220->SantaMarta220,2026,5,9,1,1,525
AJahuel500->AJahuel220,2026,5,9,1,1,1800
Alfalfal220->Almendros220,2026,5,9,1,1,312.08
Almendros110->Apoquindo110,2026,5,9,1,1,425.25
Almendros220->AJahuel220,2026,5,9,1,1,409.2489648
Almendros220->Almendros110,2026,5,9,1,1,392
AMelipill220->LoAguirre220,2026,5,9,1,1,386
Ancoa220->Itahue154,2026,5,9,1,1,240
Ancoa500->AJahuel500,2026,5,9,1,1,2600
Ancoa500->Ancoa220,2026,5,9,1,1,1500
Andes220->Oeste220,2026,5,9,1,1,428
Andes345->Andes220,2026,5,9,1,1,750
Angamos220->Kapatur220,2026,5,9,1,1,1401
Angostura220->Mulchen220,2026,5,9,1,1,500
Antofag110->Desalant110,2026,5,9,1,1,57
Antofag110->LaNegra110,2026,5,9,1,1,122
Antuco220->Charrua220,2026,5,9,1,1,1023.12
Antuco220->Trupan220,2026,5,9,1,1,512
Apoquindo110->ElSalto110,2026,5,9,1,1,425.25
Arica066->PAlmonte110,2026,5,9,1,1,29
ASanta110->Mirafl110,2026,5,9,1,1,300
ASanta220->ASanta110,2026,5,9,1,1,300
Atacama220->OHiggins220,2026,5,9,1,1,467
Batuco110->PPeuco110,2026,5,9,1,1,210
Batuco110->PPeuco110_I,2026,5,9,1,1,210
Bocamina154->Coronel154,2026,5,9,1,1,213
Buin110->LoEspejo110,2026,5,9,1,1,155
Cachiyuyal220->DAlmagro220,2026,5,9,1,1,285
Candela220->AJahuel220,2026,5,9,1,1,680
Canutilla220->PMontt220,2026,5,9,1,1,194.3361006
Capricorn220->Capricorn110,2026,5,9,1,1,100
Capricornio110->Antofag110,2026,5,9,1,1,76
Capricornio110->ElNegro110,2026,5,9,1,1,137
Capricornio110->LaNegra110,2026,5,9,1,1,76
Capricornio220->Mantos220,2026,5,9,1,1,351
Cardones220->Cardones110,2026,5,9,1,1,270
Cardones220->CPinto220,2026,5,9,1,1,731.6
Cardones220->CPinto220_I,2026,5,9,1,1,400
Cardones220->CPinto220_II,2026,5,9,1,1,331.6
Cardones220->CPinto220_III,2026,5,9,1,1,331.6
Cautin220->RioTolten220,2026,5,9,1,1,320
Chacaya220->Capricornio220,2026,5,9,1,1,351
Chacaya220->ElCobre220,2026,5,9,1,1,700
Chacaya220->Mejillones220,2026,5,9,1,1,332
Charrua066->Cholguan066,2026,5,9,1,1,52.92
Charrua154->Charrua066,2026,5,9,1,1,147
Charrua154->Chillan154,2026,5,9,1,1,188.4
Charrua154->Conce154,2026,5,9,1,1,184
Charrua154->Parral154,2026,5,9,1,1,106.6943297
Charrua220->Charrua154,2026,5,9,1,1,390
Charrua220->Charrua500,2026,5,9,1,1,1940
Charrua220->Conce154,2026,5,9,1,1,297
Charrua220->Duqueco220,2026,5,9,1,1,264.0684661
Charrua220->EntreRios220,2026,5,9,1,1,970
Charrua220->Hualpen220,2026,5,9,1,1,278
Charrua220->Lagunillas220,2026,5,9,1,1,450
