NAME,PATTERN,VALUE
CSF_LW,"DO_1,H1",156
CSF_DownMinProvision,"DO_1,H1",156
CSF_LW,"DO_1,H2",156
CSF_DownMinProvision,"DO_1,H2",156
CSF_LW,"DO_1,H3",133
CSF_DownMinProvision,"DO_1,H3",133
CSF_LW,"DO_1,H4",133
CSF_DownMinProvision,"DO_1,H4",133
CSF_LW,"DO_1,H5",133
CSF_DownMinProvision,"DO_1,H5",133
CSF_LW,"DO_1,H6",133
CSF_DownMinProvision,"DO_1,H6",133
CSF_LW,"DO_1,H7",133
CSF_DownMinProvision,"DO_1,H7",133
CSF_LW,"DO_1,H8",333
CSF_DownMinProvision,"DO_1,H8",333
CSF_LW,"DO_1,H9",333
CSF_DownMinProvision,"DO_1,H9",333
CSF_LW,"DO_1,H10",333
CSF_DownMinProvision,"DO_1,H10",333
CSF_LW,"DO_1,H11",199
CSF_DownMinProvision,"DO_1,H11",199
CSF_LW,"DO_1,H12",199
CSF_DownMinProvision,"DO_1,H12",199
CSF_LW,"DO_1,H13",199
CSF_DownMinProvision,"DO_1,H13",199
CSF_LW,"DO_1,H14",199
CSF_DownMinProvision,"DO_1,H14",199
CSF_LW,"DO_1,H15",199
CSF_DownMinProvision,"DO_1,H15",199
CSF_LW,"DO_1,H16",199
CSF_DownMinProvision,"DO_1,H16",199
CSF_LW,"DO_1,H17",199
CSF_DownMinProvision,"DO_1,H17",199
CSF_LW,"DO_1,H18",244
CSF_DownMinProvision,"DO_1,H18",244
CSF_LW,"DO_1,H19",244
CSF_DownMinProvision,"DO_1,H19",244
CSF_LW,"DO_1,H20",244
CSF_DownMinProvision,"DO_1,H20",244
CSF_LW,"DO_1,H21",178
CSF_DownMinProvision,"DO_1,H21",178
CSF_LW,"DO_1,H22",178
CSF_DownMinProvision,"DO_1,H22",178
CSF_LW,"DO_1,H23",156
CSF_DownMinProvision,"DO_1,H23",156
CSF_LW,"DO_1,H24",156
CSF_DownMinProvision,"DO_1,H24",156
CSF_LW,"LU_1,H1",169
CSF_DownMinProvision,"LU_1,H1",169
CSF_LW,"LU_1,H2",169
CSF_DownMinProvision,"LU_1,H2",169
CSF_LW,"LU_1,H3",155
CSF_DownMinProvision,"LU_1,H3",155
CSF_LW,"LU_1,H4",155
CSF_DownMinProvision,"LU_1,H4",155
CSF_LW,"LU_1,H5",155
CSF_DownMinProvision,"LU_1,H5",155
CSF_LW,"LU_1,H6",155
CSF_DownMinProvision,"LU_1,H6",155
CSF_LW,"LU_1,H7",155
CSF_DownMinProvision,"LU_1,H7",155
CSF_LW,"LU_1,H8",334
CSF_DownMinProvision,"LU_1,H8",334
CSF_LW,"LU_1,H9",334
CSF_DownMinProvision,"LU_1,H9",334
CSF_LW,"LU_1,H10",334
CSF_DownMinProvision,"LU_1,H10",334
CSF_LW,"LU_1,H11",192
CSF_DownMinProvision,"LU_1,H11",192
CSF_LW,"LU_1,H12",192
CSF_DownMinProvision,"LU_1,H12",192
CSF_LW,"LU_1,H13",192
CSF_DownMinProvision,"LU_1,H13",192
CSF_LW,"LU_1,H14",192
CSF_DownMinProvision,"LU_1,H14",192
CSF_LW,"LU_1,H15",192
CSF_DownMinProvision,"LU_1,H15",192
CSF_LW,"LU_1,H16",192
CSF_DownMinProvision,"LU_1,H16",192
CSF_LW,"LU_1,H17",192
CSF_DownMinProvision,"LU_1,H17",192
CSF_LW,"LU_1,H18",229
CSF_DownMinProvision,"LU_1,H18",229
CSF_LW,"LU_1,H19",229
CSF_DownMinProvision,"LU_1,H19",229
CSF_LW,"LU_1,H20",229
CSF_DownMinProvision,"LU_1,H20",229
CSF_LW,"LU_1,H21",196
CSF_DownMinProvision,"LU_1,H21",196
CSF_LW,"LU_1,H22",196
CSF_DownMinProvision,"LU_1,H22",196
CSF_LW,"LU_1,H23",169
CSF_DownMinProvision,"LU_1,H23",169
CSF_LW,"LU_1,H24",169
CSF_DownMinProvision,"LU_1,H24",169
CSF_LW,"SA_1,H1",156
CSF_DownMinProvision,"SA_1,H1",156
CSF_LW,"SA_1,H2",156
CSF_DownMinProvision,"SA_1,H2",156
CSF_LW,"SA_1,H3",133
CSF_DownMinProvision,"SA_1,H3",133
CSF_LW,"SA_1,H4",133
CSF_DownMinProvision,"SA_1,H4",133
CSF_LW,"SA_1,H5",133
CSF_DownMinProvision,"SA_1,H5",133
CSF_LW,"SA_1,H6",133
CSF_DownMinProvision,"SA_1,H6",133
CSF_LW,"SA_1,H7",133
CSF_DownMinProvision,"SA_1,H7",133
CSF_LW,"SA_1,H8",333
CSF_DownMinProvision,"SA_1,H8",333
CSF_LW,"SA_1,H9",333
CSF_DownMinProvision,"SA_1,H9",333
CSF_LW,"SA_1,H10",333
CSF_DownMinProvision,"SA_1,H10",333
CSF_LW,"SA_1,H11",199
CSF_DownMinProvision,"SA_1,H11",199
CSF_LW,"SA_1,H12",199
CSF_DownMinProvision,"SA_1,H12",199
CSF_LW,"SA_1,H13",199
CSF_DownMinProvision,"SA_1,H13",199
CSF_LW,"SA_1,H14",199
CSF_DownMinProvision,"SA_1,H14",199
CSF_LW,"SA_1,H15",199
CSF_DownMinProvision,"SA_1,H15",199
CSF_LW,"SA_1,H16",199
CSF_DownMinProvision,"SA_1,H16",199
CSF_LW,"SA_1,H17",199
CSF_DownMinProvision,"SA_1,H17",199
CSF_LW,"SA_1,H18",244
CSF_DownMinProvision,"SA_1,H18",244
CSF_LW,"SA_1,H19",244
CSF_DownMinProvision,"SA_1,H19",244
CSF_LW,"SA_1,H20",244
CSF_DownMinProvision,"SA_1,H20",244
CSF_LW,"SA_1,H21",178
CSF_DownMinProvision,"SA_1,H21",178
CSF_LW,"SA_1,H22",178
CSF_DownMinProvision,"SA_1,H22",178
CSF_LW,"SA_1,H23",156
CSF_DownMinProvision,"SA_1,H23",156
CSF_LW,"SA_1,H24",156
CSF_DownMinProvision,"SA_1,H24",156
CSF_LW,"TR_1,H1",169
CSF_DownMinProvision,"TR_1,H1",169
CSF_LW,"TR_1,H2",169
CSF_DownMinProvision,"TR_1,H2",169
CSF_LW,"TR_1,H3",155
CSF_DownMinProvision,"TR_1,H3",155
CSF_LW,"TR_1,H4",155
CSF_DownMinProvision,"TR_1,H4",155
CSF_LW,"TR_1,H5",155
CSF_DownMinProvision,"TR_1,H5",155
CSF_LW,"TR_1,H6",155
CSF_DownMinProvision,"TR_1,H6",155
CSF_LW,"TR_1,H7",155
CSF_DownMinProvision,"TR_1,H7",155
CSF_LW,"TR_1,H8",334
CSF_DownMinProvision,"TR_1,H8",334
CSF_LW,"TR_1,H9",334
CSF_DownMinProvision,"TR_1,H9",334
CSF_LW,"TR_1,H10",334
CSF_DownMinProvision,"TR_1,H10",334
CSF_LW,"TR_1,H11",192
CSF_DownMinProvision,"TR_1,H11",192
CSF_LW,"TR_1,H12",192
CSF_DownMinProvision,"TR_1,H12",192
CSF_LW,"TR_1,H13",192
CSF_DownMinProvision,"TR_1,H13",192
CSF_LW,"TR_1,H14",192
CSF_DownMinProvision,"TR_1,H14",192
CSF_LW,"TR_1,H15",192
CSF_DownMinProvision,"TR_1,H15",192
CSF_LW,"TR_1,H16",192
CSF_DownMinProvision,"TR_1,H16",192
CSF_LW,"TR_1,H17",192
CSF_DownMinProvision,"TR_1,H17",192
CSF_LW,"TR_1,H18",229
CSF_DownMinProvision,"TR_1,H18",229
CSF_LW,"TR_1,H19",229
CSF_DownMinProvision,"TR_1,H19",229
CSF_LW,"TR_1,H20",229
CSF_DownMinProvision,"TR_1,H20",229
CSF_LW,"TR_1,H21",196
CSF_DownMinProvision,"TR_1,H21",196
CSF_LW,"TR_1,H22",196
CSF_DownMinProvision,"TR_1,H22",196
CSF_LW,"TR_1,H23",169
CSF_DownMinProvision,"TR_1,H23",169
CSF_LW,"TR_1,H24",169
CSF_DownMinProvision,"TR_1,H24",169
CSF_LW,"DO_2,H1",162
CSF_DownMinProvision,"DO_2,H1",162
CSF_LW,"DO_2,H2",162
CSF_DownMinProvision,"DO_2,H2",162
CSF_LW,"DO_2,H3",154
CSF_DownMinProvision,"DO_2,H3",154
CSF_LW,"DO_2,H4",154
CSF_DownMinProvision,"DO_2,H4",154
CSF_LW,"DO_2,H5",154
CSF_DownMinProvision,"DO_2,H5",154
CSF_LW,"DO_2,H6",154
CSF_DownMinProvision,"DO_2,H6",154
CSF_LW,"DO_2,H7",154
CSF_DownMinProvision,"DO_2,H7",154
CSF_LW,"DO_2,H8",332
CSF_DownMinProvision,"DO_2,H8",332
CSF_LW,"DO_2,H9",332
CSF_DownMinProvision,"DO_2,H9",332
CSF_LW,"DO_2,H10",332
CSF_DownMinProvision,"DO_2,H10",332
CSF_LW,"DO_2,H11",218
CSF_DownMinProvision,"DO_2,H11",218
CSF_LW,"DO_2,H12",218
CSF_DownMinProvision,"DO_2,H12",218
CSF_LW,"DO_2,H13",218
CSF_DownMinProvision,"DO_2,H13",218
CSF_LW,"DO_2,H14",218
CSF_DownMinProvision,"DO_2,H14",218
CSF_LW,"DO_2,H15",218
CSF_DownMinProvision,"DO_2,H15",218
CSF_LW,"DO_2,H16",218
CSF_DownMinProvision,"DO_2,H16",218
CSF_LW,"DO_2,H17",222
CSF_DownMinProvision,"DO_2,H17",222
CSF_LW,"DO_2,H18",222
CSF_DownMinProvision,"DO_2,H18",222
CSF_LW,"DO_2,H19",222
CSF_DownMinProvision,"DO_2,H19",222
CSF_LW,"DO_2,H20",161
CSF_DownMinProvision,"DO_2,H20",161
CSF_LW,"DO_2,H21",161
CSF_DownMinProvision,"DO_2,H21",161
CSF_LW,"DO_2,H22",161
CSF_DownMinProvision,"DO_2,H22",161
CSF_LW,"DO_2,H23",162
CSF_DownMinProvision,"DO_2,H23",162
CSF_LW,"DO_2,H24",162
CSF_DownMinProvision,"DO_2,H24",162
CSF_LW,"LU_2,H1",163
CSF_DownMinProvision,"LU_2,H1",163
